,userid,commentid,username,content,timeStr,likedcount,hug,replycount
6,4962789174,5835084350,歆歆呐呐,想找个有海的地方和你荒度余生…（其实是想和你荒度余生，有没有海，有没有山，都不重要，重要的是有你在身边…有你在，夏夜不再孤独，冬夜也变得温暖）,1月15日,0,FALSE,0
7,1734071267,5805012463,是个成年小孩,为什么你就这一首歌，你现在在忙什么,2022/12/8,5,FALSE,0
8,4011842424,5803119585,陪张大哥看日落呀cc,是呀该有多好,2022/12/5,0,FALSE,0
9,1449111259,5779785871,流浪猫_Lin,凌晨五点,2022/10/31,0,FALSE,0
10,1627101106,5778871079,蘭_1012,想找个有海的地方，面朝大海春暖花开,2022/10/29,0,FALSE,0
11,1906207361,5721017835,#NAME?,@李逍遥-T0想找个有海的地方和你荒度余生,2022/8/6,3,FALSE,0
12,1318566263,5707987385,Super小桔子,突然发现，自己做过的好多事都只是一厢情愿,2022/7/20,1,FALSE,0
13,1933829437,5667718211,你不爱我我就爱别人--,遇见他之前在听摇滚在听金属，遇见他之后在听民谣,2022/5/23,2,FALSE,0
14,1564242701,5662823703,向哪成,我爱你尹乐,2022/5/16,2,FALSE,3
0,490808388,5905117851,安琪睡着了,晚安啦～,2天前,0,FALSE,0
1,490808388,5904115658,安琪睡着了,晚安啦～,3天前,0,FALSE,0
2,556354601,5904033288,小恒_同学,没有真正的诗人，算法都能写诗,4天前,1,FALSE,0
3,1517569282,5903931817,便利店里织泡面,我们在自然中相遇，也在自然中分离,4天前,0,FALSE,0
4,490808388,5903610215,安琪睡着了,晚安啦～,5天前,1,FALSE,0
5,490808388,5903196462,安琪睡着了,晚安啦～,5天前,1,FALSE,0
6,1468347299,5901121553,那就明天见_q,可是你明白吗永远有更好的要是想换好的永远都换不完,5月4日,1,FALSE,0
7,590838074,5900446851,希冀Xg,小文艺的爱情好小的文艺.,5月2日,1,FALSE,0
8,298281825,5900012051,蚩妄人,春天的歌冬天也听不到了,5月2日,1,FALSE,0
9,1519704292,5899840457,言木Die-,为什么明明是不喜欢的人，还是会一直想念？。,5月1日,0,FALSE,0
10,1519704292,5899388898,言木Die-,很久很久之前你有一个非常非常喜欢的人，你觉得她是你这辈子最最最爱的人了。可是在很久很久放下之后，你会发现，其实她也很普通。,5月1日,0,FALSE,0
11,5213037377,5897473077,PLAYER-CHlNA,可是亲爱的这上百个不眠哭泣的夜晚我早就疯了我清醒的知道所有真相可我总觉得是假象,4月27日,0,FALSE,0
12,1529136197,5897240940,去看live,想为写首诗可你迟迟不出现于是我决定先书写自己的生活之歌这样的话等到那天来临时你便可以了解我的一笔一画了。,4月27日,0,FALSE,0
13,409499550,5896351821,夏梦y,胡思乱想以至于吃火锅开香油罐倒翻，顷刻倒出来的香油像极了我慌乱的心,4月25日,2,FALSE,0
14,5052515703,5895060115,六味神鱼,我撕下一片天空当画布，用鲜血画下朝霞,4月22日,2,FALSE,0
0,2060439813,5905666015,喜欢猫耳很奇怪吗,就像在七月的冬天,1:04,0,FALSE,0
1,362555277,5905185582,一小只靓仔,颠沛流离的生活你受够了吧,昨天02:23,0,FALSE,0
2,362555277,5905187825,一小只靓仔,大家好像都挺正常的[多多耍酷],昨天02:22,0,FALSE,0
3,7983116481,5905121574,刚满17岁的迷茫小朋友,不要难过哦，每天吃一颗糖，然后告诉自己：今天的日子，果然又是甜的,2天前,1,FALSE,0
4,1636413377,5904829109,大口吃肉,都怪我贪恋梦到你的感觉，一直不愿意醒到现在，什么也没有干，又在早上崩溃，我的世界好像是静止的，才恍惚间发现你已经走了快四十天，你已经不喜欢我了我要如何呢...我又能做什么呢,2天前,0,FALSE,0
5,530342069,5903771935,yeeeeeeeeeek,揽明月,4天前,0,FALSE,0
6,418318222,5903674171,孤立无援的是我,初中特别喜欢的歌，为什么等到大一又回来了呢，我的意思是用心喜欢过的人一直都未停止想念,4天前,0,FALSE,0
7,333681033,5903641037,5uicide798,两年了我还在听,4天前,0,FALSE,0
8,414625992,5903179606,抓到你就是我的,为什么现在认识的人都没有以后了,5天前,1,FALSE,0
9,1598464150,5903127142,上天恩赐_,?一边逃避恋爱，一边期待被爱.,6天前,2,FALSE,1
10,3323541633,5902998655,楼殷,为什么我听这个歌好难受啊,6天前,0,FALSE,0
11,5088767710,5902881668,这般烟火色,“我喜欢喜欢我的你”,6天前,2,FALSE,0
12,3859964562,5902714071,园中有圆蛇,可你骗我，我不会原谅你的,6天前,2,FALSE,0
13,3859964562,5902712341,园中有圆蛇,算了，那三年送你了,6天前,2,FALSE,0
14,3277133194,5902693898,你像一朵太阳花,以前不懂，听歌总是不评论。一直没升级和增加经验，现在我明白了，反正评论15字就可以升级了，还可以赚经验。升级又需要经验，于是我把这句话复制下来了：这歌太好听了吧[多多耍酷,6天前,0,FALSE,0
0,440058678,5905831326,渤渤花道_LK,我最近喜欢了一个女孩，偷偷知道她网易云也收藏了这首歌子,11:54,0,FALSE,0
1,8554569142,5905688779,倩倩_QtHU,!真心找个男朋友dd,2:01,0,FALSE,0
2,8554487055,5905667905,妮妮_IFMB,?真心找个男朋友dd,1:09,0,FALSE,0
3,2010576112,5905587767,不是-宇,把左手把右手大拇指→往这划←大拇指放这里放这里,昨天23:24,0,FALSE,0
4,4889909933,5905587022,Rainy_pumz,我遇到了一个很美好的人。,昨天23:22,0,FALSE,0
5,5142014839,5905506576,用户5142014839,分了就爱，分了就爱，感觉就是工具[流泪][流泪][流泪],昨天21:19,0,FALSE,0
6,1923572467,5905413295,_月半不是胖,初次听于2019年，那时候还没结婚还没孩子还没遇到他,昨天18:04,0,FALSE,0
7,6270285046,5905389539,北京热心市民三儿,我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你我爱你,昨天17:00,0,FALSE,0
8,8551439798,5905361877,妮妮_zDg3,～真心找个男朋友dd,昨天15:28,0,FALSE,1
9,5144319105,5905333624,举手比耶v,平庸只是一个代名词，其实你并不平庸,昨天14:09,1,FALSE,0
10,124243025,5905121321,随意丶低調,有没有单独这段口哨,2天前,0,FALSE,0
11,418233607,5905103059,你算哪块小饼干7788,陪在彼此身边吧共患难共进退无论遇到什么风风雨雨都一起走。,2天前,2,FALSE,0
12,3356873795,5905094312,暮雪烟雨晨,以无止之神，行有止之境,2天前,1,FALSE,0
13,1769034194,5905086970,冥雅明,fm，终究是错过了,2天前,0,FALSE,0
14,494728979,5905080077,记得花开过,走不出来真走不出来，很想念很想念,2天前,1,FALSE,2
0,1810473297,5904776031,_岛屿ouo,距离高考还有27天如果考上600那我回来说说我的故事,2天前,2,FALSE,1
1,1362377900,5904510872,YYYYYYYYY_Yee,我想上华中师范，真的想！！！,3天前,0,FALSE,0
2,3235376966,5904337056,普通小孩_zm,一手好牌打得稀烂,3天前,2,FALSE,0
3,2077908582,5903994629,是小政呐Leo,上次在这里评论时还是高考前，但现在我已经考上一本了！[多多大哭],4天前,1,FALSE,0
4,604492993,5903962993,孤城寂静-Alone,I'mfrom......China，and，Koreasinger.,4天前,0,FALSE,0
5,396039428,5903766083,谁会不喜欢小狗狗呢,我知道我有种ohohohohoh,4天前,0,FALSE,0
6,3988089390,5903553601,关于小x的一切,我知道我有种,5天前,1,FALSE,0
7,429301600,5903318645,夏君平丶,感谢热推,5天前,0,FALSE,0
8,6276655682,5903015013,花开富贵ws250,别看了评论了，赶紧去学习吧,6天前,1,FALSE,0
9,117928975,5902982522,潘小豪同学,今天她456了嘛？,6天前,0,FALSE,0
10,640050501,5902858938,孤独小雪生,要什么避风巷陈劲生才是我心之所向,6天前,1,FALSE,0
11,7951367489,5902202345,用户7951367489,加油一定要考上,7天前,2,FALSE,1
12,491380324,5901330519,與鯨島,一个人混得不好只有两个原因，没选对方向，还不努力。选对了方向，路会走的更顺一些。如果不幸选错了方向，那就勤奋一些，最怕的就是既没有选对方向，还很懒惰。,5月4日,3,FALSE,0
13,1873571049,5900966659,Shanghai_Z,少爷只要去好大学,5月3日,1,FALSE,0
14,1873571049,5900907360,Shanghai_Z,三儿你的歌太好听了,5月3日,0,FALSE,0
0,1804751822,5905731261,盖世英雄_骄,哪吒割肉还母，拆骨还父。他用自残的方式，夺回了自己身体的控制权，他彻底摆脱了父权约束，获得了真正的人格独立。自杀后的哪吒成为复仇之神，他再也没有羁绊，再也没人能限制他的自由意志。他的身体能够变成三头六臂，他的红缨枪、风火轮再没半点怜悯…,7:04,0,FALSE,0
