,userid,commentid,username,content,timeStr,likedcount,replycount
0,3291743001,5428603245,玛卡巴卡在阿巴阿巴,不行啊！这歌也太让人快乐了！洗澡的时候我直接扭成龙卷风！！！,2021/10/1,95696,1688
1,267627817,5427142964,皮崽-承蒙厚爱,这派对也太危险了，男孩子在外面玩一定要好好保护自己[惊恐],2021/9/29,68626,468
2,428956762,5419339232,保久伽壹,“右手托住你的心跳”怎么……托?,2021/9/17,61605,2304
3,1984646294,5446242912,阿泽潮音,你说你大姨妈走了让我晚上去你家宝守灵这活哥真干不了啊,2021/10/27,44294,629
4,287711061,5420069620,等X的新歌,托住你的心跳这句可太高情商了,2021/9/18,37328,221
0,47774029,9074483,胖了一整个盛夏,开头金润吉的那几句简直好听炸！！！！！！！！！！,2015/1/20,27461,134
1,67404460,128604071,小白不会很白,阿里郎这个名字起的俗，不然能火[大哭]是这样的吗,2016/3/12,18958,209
2,128843665,339992770,若凤求凰,有人问我思念到极致是什么感觉。我曾经发了句晚安给她，一晚上醒来六、七次看手机信息。就是那种可怕的朦朦胧胧的意识，梦里都梦到她好像回了我信息然后意识带我从梦境里挣扎出来立马去翻看手机。你看，这大概就是思念深入骨髓竟连梦境都不愿放过了吧。今天很冷，你现在怎么样呢？,2017/3/26,16670,322
3,122700987,135827338,你我皆凡人_,今天2016年03月30号。这首歌会火！,2016/3/30,13078,1603
4,4022472656,5627762154,圈钱公主,如果你刷到我愿你嫁给爱情,2022/4/3,9039,312
0,474348590,5324462466,夏日入侵企画,经常在夏天深夜出门散心。平缓流淌的街灯和温暖的晚风，被熟悉的气味和环境唤醒回忆，很容易让人安静下来。这首歌的概念起源于在东京台场遛弯，最后一句歌词写成于北京穿过五四大街面对北海的瞬间。感谢音乐和互联网让我们天涯共此时。很想知道听到这首歌的各位，此刻正走在哪里呢,2021/6/5,19374,758
1,1338726532,5324547833,灰鸿啊,乐队的第一部长篇「夏日黄昏三部曲」的终章。讲完了一段感情从「挽回」到「告别」再到「释然」的三个故事。最终也一个人去了约定要一起去看的花火大会。啊，没什么了不起的，只是觉得好热。,2021/6/5,11944,266
2,75685933,5324532998,沐梓忻,摇滚人是燃着温柔之火的极端浪漫主义者,2021/6/5,9620,44
3,1831790043,5346915564,小蛇仙天天开心,分享欲就是赤裸裸的告白,2021/7/2,6360,158
4,542077732,5327159696,蛙蛙_7777,夏天的歌还是得交给夏企,2021/6/8,4986,31
0,80303269,3392540986,谢白点,这个周末一起早起打扫卫生吧，我愿意洗床单，你只需要在旁边拆好你的快递，收拾干净后洗个香香的热水澡，然后趁着时间还早，追着晚风去吃一顿大餐。虽然已经度过了缠绵的热恋期，但我仍旧赞扬你是世界最美丽。,2020/7/26,8802,93
1,84242841,3392524168,小含含_,三十而粒，你写世界正中。在足够漫长的时光中解构出自己生活的艺术，拥有过锋利的漂亮，要温柔地和生活和解。想要热气腾腾的爱，在夏天傍晚，为爱再跌痛一次。祝你在人生中一直拥有悠长假期，做春天的梦，吹夏天的风，收获秋天的果实，申请冬天的雪。很多世俗，不必烦恼，而生命一直是一条流动的河。,2020/7/26,8766,66
2,494841338,3394884358,少年柴柴,感觉她又和小女孩谈恋爱了。,2020/7/28,7657,364
3,80303269,3392562085,谢白点,上次粉丝说想和二十岁的陈粒谈恋爱，她说“师傅我现在也还可以的。”嗯真的很可以,2020/7/26,6393,45
4,284313777,3394695262,1MWATCHINGU,高考成绩估570出来600，真有我的，这波啊，这波爷在世界之中,2020/7/28,3319,140
0,7811353507,5695587968,帐号已注销,我看的最远的地方就是，平安回家！回到妈妈的身旁。父亲是烈士，我重启父亲警号，干了缉毒警。每次出任务，每次抓人的时候，我都是对自己说，我干这行的，我知道怎么做。总要有人去做的嘛。隐姓埋名好几年了，我想家了。,2022/7/2,16046,2573
1,1494202911,5677351824,她的现任,祝各位考生高考大捷，和自己喜欢的人一起去那远方,2022/6/6,11943,83
2,1777082129,5677099953,永远的二零三,演唱会的现场版已经被我听了无数次，在每次因考试成绩崩溃时，我都会翻出演唱会的视频再听一遍，想着一定要坚持下去。明天就要高考了，当昨天的我看到了，你要重新唱这首歌时我真的很想哭。我觉得一切都是冥冥之中的，冥冥之中自有天意，今天这首歌发布，而我明天就要高考。,2022/6/6,10640,756
3,1752383264,5678537123,毛卜易yi,考试前:看得最远的地方，考试后:像我这样的人,2022/6/8,5599,73
4,7809907302,5703687964,TheCrossingg,正在听歌的那位，没错就是你，你以后绝对会有出息真的！,2022/7/14,5163,354
0,18590405,6931728,YSHY1丶,手机铃声下载请发送短信到168xxxxxx[大哭],2014/12/10,64301,305
1,18545834,7422591,突然发现手机里只有一个音乐软件,想当年坐在学校的围墙上唱这首歌，老牛逼了。后来墙塌了。,2014/12/21,50922,215
2,18986628,6769250,雪源_L,该死的温柔，秋天不回来，香水有毒，不怕不怕，当时的神曲啊！！！,2014/12/6,41571,337
3,69247130,27066316,为往圣而继绝学,那年从西安回武汉，在火车上面遇到一个漯河的女生，当时自己身上没有手机，女孩把自己的MP3借我听了一晚上，大晚上还在我肩膀上睡着了，走的时候我想问一个联系方式来着，但是最终还是没有说出口，我已经不记得女孩什么样子，但是一定很美，是这样的。,2015/7/19,33136,189
4,121953443,60314861,追忆那年秋,感觉对马天宇的记忆除了这个古早的该死的温柔就直接跳到古剑奇谭了……中间这么多年去哪了？,2016/1/9,30557,234
0,415974922,716926950,帐号已注销,喜欢了她七年给她以前唱的歌现在我们在一起,2018/2/24,57705,1308
1,2059439,7962709,一粒馒头,曾经一首童话唱哭了多少早恋的人。,2014/12/31,44144,1861
2,39441587,5929860,乖心儿,听这些老歌就会发现好多同龄人，都是一群90初的小伙伴........真的好怀念那些年的过往，可是时间回不去了啊，有些人注定是我们人生的过客,2014/11/17,37008,1296
3,31238729,7537077,_缄箴,十年前，我听到这首歌时我还是小学生，当时听到只是觉得旋律好听，当时的我哪知道十年后我会听着这首歌趴在桌上流泪。,2014/12/23,19488,197
4,58978292,43988550,文娜mwn,一直很喜欢这句歌词：“也许你不会懂从你说爱我以后我的天空星星都亮了。"这大概就是遇到对的人后被爱的滋味。,2015/10/31,13517,92
0,1755978650,5165621062,秋刀鱼_1996,我是侯万军，我发誓这辈子一定要娶郝嘉璐，我会一点一点努力给她一个家.,2020/11/24,82916,5009
1,3864169274,5165589574,郝嘉璐是大魔王,侯万军，我想和你在一起很久很久，我爱你。,2020/11/24,73044,2894
2,486274527,3587207410,ZzHpf,今天一出门，好冷，下意识掏出手机想叫你多穿点，才反应过来，没有身份了。,2020/10/24,22003,262
3,603979509,5224179540,妳還是失约了-,我宁愿相信妓院有处女也不相信爱情里有真情.,2021/1/31,17608,474
4,1944615402,5178591549,尤咏慈__-,一群未成年故事比你爹都长的多.,2020/12/10,16206,742
0,30905679,6998451,灬死亡之翼灬,其实这首歌是两个备胎被那个女孩伤心后决定在一起的故事,2014/12/12,39666,153
1,3360235,9403158,Jasmine_Yuqi,两个备胎没追到女孩，居然还能欢乐地一起总结，也是醉了,2015/1/25,33232,157
2,31735416,4847969,Anno33,歌名应该是《那个女孩的备胎》,2014/10/12,13136,27
3,273182140,202798524,ZdiscoveryZ,她的身上有种淡淡的韭菜盒子香,2016/8/21,10496,96
4,3592708,9573458,藝術館假期,备胎还能唱的这么欢快。,2015/1/28,8108,12
0,277962003,191429332,风pdd,薛之谦：专辑你就不要买啦，网上都可以免费听，买了也没什么意义…许嵩：新专辑在各大平台都可以免费听，实体唱片的话可以不买阿…搞得跟是电视销售节目推销一样…海蝶音乐：我特么招谁惹谁了签了这俩败家玩意儿！[大哭][大哭],2016/7/31,245340,814
1,41127627,5641383,Double___two,会写歌，能逗比，会做生意，能开店，人也帅。[色],2014/11/10,204305,1092
2,124063058,131358133,黑白薄荷,Stayhere，很是意外，方圆几里一半是认真的雪，一半是黄色枫叶。突然我想起你了，我知道你都知道，为了遇见你，我甘愿做个绅士的演员，做个深深爱过你的丑八怪，不管世上有几个你，其实，我们爱过就好。你过的好吗只是句敷衍，我终于成了别人的女人，你还要我怎样。下雨了小孩，等我回家。,2016/3/19,127831,199
3,39354530,6750215,wongtian,薛之谦是个努力有梦想又帅的好歌手。快火起来,2014/12/6,85152,729
4,9380452,8780064,幻梦_,薛之谦唱歌这么好听为什么不红[流感],2015/1/15,65857,1429
0,397990828,284488362,帐号已注销,全书最直的人穿一身基佬紫[大哭],2017/1/10,307930,1619
1,274680692,287266832,-朝柳-,江厌离道：“你要跟我说什么事？”魏无羡笑道：“没什么事呀。我就进来打个滚。”说着，真的在地上打了个滚，江厌离问道：“羡羡，你几岁呀？”魏无羡道：“三岁啦。”,2017/1/14,191291,354
2,117301041,290449922,酒精塊w,蓝二哥哥醉酒时wifi问：“江澄如何？”皱眉：“哼。”魏无羡：“温宁如何。”冷淡：“呵。”魏无羡笑眯眯指了指自己：“这个如何？”蓝忘机：“我的。”“……”蓝忘机盯着他，一字一顿，清晰无比地道：“我的。”,2017/1/19,161331,539
3,360943737,294487726,春杪望野,全书死了那么多人，哪怕是晓星辰，也留下了几缕魂魄残存，但是，若是论灰飞烟灭，恐怕只有温情阿姐了吧。,2017/1/25,141098,582
4,395981951,282344337,将语未歇,“是！蓝曦臣，我这一生，杀父杀兄杀妻杀子杀师杀友，什么坏事没做过！”他倒吸了一口气，仿佛肺部被刺穿，“可我独独没有想过要害你……”心疼瑶妹QAQ,2017/1/7,113240,379
0,292132980,1531350053,梁歌沫痕,忘记了拥抱，忘记了微笑，可我依旧忘不了你,2019/6/22,32976,348
1,553925693,1531357964,难借,白天可以原谅所有人，但晚上不行???,2019/6/22,23892,183
2,471776903,1531344117,情感文字君,直到后来看到他恋爱的样子才知道自己没有被他爱过,2019/6/22,14597,246
3,326537170,1531386994,FFFFYer,十年前，他的房间门上贴着潘玮柏的海报，所以我跟着他学会了潘玮柏的每首歌。如今，我的房间门上贴着Sunnee的海报，他却不会再来陪我听歌了……我要忘记我们曾那么那么好，却忍不住来听这首歌……哥哥再见啊,2019/6/22,12876,320
4,397714050,1531384131,神秘北极圈LC,这首歌很难唱，sunnee气息控制的很好，低沉的地方像在诉说着故事，高潮的部分像在宣泄着年少时的懵懂。这个版本让我感觉到了一个少女回忆初恋的感觉,2019/6/22,10853,194
0,97122187,1558495182,李小楚,因为慢半拍，一开始动心的人是你，结果越陷越深的是我。因为慢半拍，所以你走了，我还爱着你。有人说，慢热是怕被辜负，因为每一次都太全情投入。所以，如果你终究要离开我，请不要来爱我。毕竟，就连忘记，我都学得很慢。,2019/7/17,208813,742
1,1510161428,1558218461,温拿ic_,我爱他，只是因为他是最好的薛之谦。说好一辈子，我先爱为敬！老薛生日快乐,2019/7/17,93790,1108
2,1732279932,1558242099,you-are-my-moon,什么叫重蹈覆辙？就是数年后在陌生的城市陌生的街道我依然一眼就能认出你的背影而我却发现没有理由去追也不必追。,2019/7/17,88034,1445
3,345860007,1558265685,木尧大兄弟,两位对音乐纯粹追求的音乐人的第一首合作作品。慢半拍的老古董，天涯里自会相逢。??,2019/7/17,83106,792
4,125989633,1558271544,路以南,一向慢半拍我也能在你发歌的时候准确到达,2019/7/17,43872,112
0,272553450,1116830400,帐号已注销,32岁许嵩新专辑《老夫聊发少年狂》主打歌曲《老古董》率先上线，专辑以“老”为主题，收录了包含许嵩的职业《老医生》《老厨师》《老程序员》《老歌手》《老摄影师》，微博透露已久的择偶标准《老伴需要D》，玄学问题《老忘记微博密码》和最后一首《老铁们是我瞎编的》。,2018/5/14,65797,224
1,117563744,1116859858,一米阳光615,2009年我初一你发了《自定义》2010年我初二你发了《寻雾启事》2011年我初三你发了《苏格拉没有底》2012年我高一你发了《梦游计》2014年我高三你发了《不如吃茶去》2016年我大二你发了《青年晚报》2018年我毕业你发了《老古董》嵩哥你真的是陪伴我一路青春的人。生日快乐?,2018/5/14,57384,278
2,325082184,1116862608,用户325082184,为了一件满意的艺术品，整天埋头制作，日渐沧桑，蓄起了长发胡须，甚至徘徊在被逼疯的边缘。经过多次失败、推倒重来，终于一举成名。功成名就之后，剪掉长发，刮掉胡须，换上白色礼服走进博物馆，亲手摔碎老古董。因为，自己就是“老古董”,2018/5/14,23858,24
3,96652556,1116840305,夏蝉冬雪53672,老古董他曾受万人追捧老古董说失传之前道声珍重老古董他今年32岁了可他什么都不懂，甚至连专辑抬价都不懂十二年，小古董们也都长大了已经过了听热闹的年纪小古董们什么都不懂，独独懂你终有一天，我们也会和你一样成为老古董,2018/5/14,21896,34
4,345860007,1116849950,木尧大兄弟,“音乐太主观了，懂的人自然懂你，不懂的人，我也没有试图让别人懂，一知半解我觉得是最可怕的，最好就是不懂就完全不懂，懂的人懂就很舒服了。”——许嵩,2018/5/14,17485,32
0,311434097,2036006900,荣耀张大仙z,看到有粉丝给我说，想我10万?，我不是专业歌手，但被这么好的你们爱着，真是太！幸！福啦！哈哈哈调音师真棒，仙友太好啦[可爱],2019/12/3,90634,2956
1,282739413,2035743211,Andrew_xx,他不想粉丝老花钱他现在胖了他是射手保护协会会长他现在有着脱坑三招仙声大仙不闹好多节目他写小说，主角游戏ID不羡仙他会和仙友说好好学习他说十年后哪怕自己不直播了，仙友和朋友聊天时会发现，你当年也看大仙！他以前叫阿发，现在叫张大仙他一直在努力他是我们最好的张大仙！,2019/12/2,47212,842
2,1548458075,2035800498,#NAME?,大仙：“如果有一天我没直播了，王者荣耀也不火了，但是你无意间喊出妖怪吧，有人认出你的话“诶你是仙友吧”，然后你们就在一起聊很多以前我直播的时候的事，这会是多好的回忆，虽然不知道你们是谁来自哪里，但是能遇到你们真的很好！”,2019/12/2,20547,249
3,348033971,2035652122,好看且可爱,张大仙，撒浪嘿呦，祝大仙千千万订阅，祝今天生日的妖怪，生日快乐。,2019/12/2,15745,50
4,311434097,2039155640,荣耀张大仙z,居然10万?了！从来没有想过非专业歌手的我发歌能享受这一刻呀！非常非常感谢大家的支持?我！太！幸！福！了！仙友太感人了[流泪],2019/12/6,14920,359
0,384513075,3127578332,JAREDI,相隔两个时空自己与自己的对话自己与自己的和解我们都有过想要回头抱抱那个曾经的自己的瞬间小王小王不慌不忙,2020/1/24,29317,92
1,2063585202,3124972987,无论是谁_,晴天总比雨天多。——毛不易,2020/1/22,27051,180
2,647748068,3124916712,写蘑菇的小菇凉,如果我在角落里遇见她，我会告诉她:其实你很棒啊，要自信、勇敢，可我不会再遇见她；如果我在角落里遇见他，我会说出那句话，可我也不会再遇见他。,2020/1/22,13530,65
3,104982737,3125015310,北方易先生,毛毛的新歌小王，舒缓的旋律没有什么起伏，不刻意收敛，也不哗众取宠，像一股清流从心上缓缓流过，毛毛自然而独特的为尾音，责是心里的小石头，轻轻敲打在心间，其实及其像极了他的个性.,2020/1/22,12108,25
4,343519579,3124942548,想夏了夏天,小王小王我是小王再说一遍我是小王,2020/1/22,11517,868
0,16191190,3154746557,斯鲁莉安sky,啊啊啊啊啊啊斗牛！太炸了！都去看视频啊！一得要看视频啊！这是什么神仙表演！,2020/2/14,92458,1353
1,480795712,3154818557,xiaoyu20170507,"主歌描绘了一场传统完整的斗牛赛，参与包括：主斗牛士，长矛手，花镖手，助理斗牛士。过程则是：1.	请牛出栏，是一项非常庄严重要的仪式。2.	助理斗牛士先上场，负责逗引、激发公牛的怒气，令公牛绕场奔跑。3.	长矛手次登场，把矛插入公牛的脊背，令牛放血，牛更加被激怒，也更加危险。",2020/2/14,67269,871
2,258426186,3154844546,Lydia-Abracadabra,“华晨宇只会飙高音”ET：不好意思，人家的低音你也学不来╮(￣▽￣)╭,2020/2/14,52641,1280
3,18656784,3154860069,光不要的那片银河,他从来不救人。他只相授他天生的直觉、灵感。然后引你，渡你。一顰一动，一神一思。“神仙”二字也无以形容。也正因为他只是凡人，一切才更弥足珍贵。,2020/2/14,24626,117
4,121128168,3154822332,千面阿藏yu,大家记得去看视频！！！真的超绝他的台风和现场的互动感！！！有缘可以现场感受下我两年前第一次在全国最大的体育场鸟巢听到的时候听到他一开口真的震住了。就是我想到他厉害但没想到他那么厉害！！当然19，20年的他更厉害惹～谢谢你跟我们分享你的作品@华晨宇yu期待华晨宇更多新歌的发行?,2020/2/14,22595,127
0,455573267,1685467120,乞力马扎罗的雪felicity,《想见你》中许光汉用手指捂住眼睛又拿开时笑容满面的样子实在是帅惨了,2019/11/19,297929,2438
1,121981369,1688061114,sense王,看完《想见你》，突然觉得这首歌有点上头,2019/11/22,222383,1856
2,346231491,1691151352,Jelly0815,有谁是〈想见你〉找过来的！[爱心][爱心][示爱][示爱],2019/11/26,166228,1681
3,85692573,2063116326,酋长8479,“从来没有王诠胜，一直都是李子维。”,2019/12/27,111218,1067
