,userid,commentid,username,content,timeStr,likedcount,ip,time,ishug,replycount
3,48470527,18042994,zombiesu,我一个人太久了  都忘了两个的感觉了,2015/5/12,21003,,1.43143E+12,FALSE,46
4,9113168,19033006,夏尔先生,昨天一个朋友问我们说如果他有单身一辈子的想法会不会吓到我们。 尽管这已经是我一个人的第四年，尽管我已经完全习惯了一个人的生活，但我依然告诉他，会。 习惯并不等于喜欢，淡然不代表不在意。所有一个人的独角戏，都是在等待另一个人有一天掀开帷幕，那一刻，舞台上的山水楼阁花袍羽扇才有了色彩。,2015/5/21,15965,,1.4322E+12,FALSE,95
0,41359100,7815840,雪天出生的孩子不怕冷,不是周杰伦没有故事去写了，而是你没有故事去听了,2014/12/29,108207,,1.41979E+12,FALSE,2
1,61583479,64556323,瑾瑜向上,周杰伦结婚了，可新娘不是方文山。,2016/1/24,74083,,1.45361E+12,FALSE,0
2,30558308,70146764,Maroon-J,真的很烦那种什么什么专辑，什么08，07之后再无周杰伦的说法，周杰伦一直在前进，你却一直停留在过去。,2016/2/13,64222,,1.45535E+12,FALSE,0
3,65156482,18539432,JiaweiC,小学开始听周杰伦～因为周杰伦，去学钢琴，因为周杰伦，去报了艺考。学着周杰伦弹奏肖邦的夜曲，考上了音乐学院。如今我是一名钢琴调律师，杰伦的歌曲总是能给我前进的方向！杰伦，6月深圳见～,2015/5/17,48595,,1.43179E+12,FALSE,0
4,108638392,56115001,亡命之徒yg,至今记得那英在好声音上说周董不会唱情歌...我只想说周董都不会唱情歌，老子的青春被狗吃了吗?,2015/12/24,43881,,1.45094E+12,FALSE,0
0,40195289,6282783,年轻的记忆,高一听的歌，现在都大三了，时间好快,2014/11/25,146104,,1.41692E+12,FALSE,6434
1,30563889,175421346,Gorlomi,周杰伦的中国风是宫廷的，有传统的气息；许嵩的中国风是江南的，有梅雨的味道。,2016/6/28,144534,,1.4671E+12,FALSE,1186
2,249016332,130378127,树下蜗牛壳,半城烟沙半城血，清明雨上客怎眠。千百度里寻伊人，不见当年庐州月。,2016/3/16,84688,,1.45812E+12,FALSE,337
3,44457852,8221143,等烟雨天青青,初一知道的许嵩，然后就一直听了下来，不知不觉已经大一了，忽然感觉时间过得太快了，，，，那年的我喜欢和她一起坐在操场的台阶上听着这首歌，现在的她还好么？,2015/1/5,45255,,1.42046E+12,FALSE,409
4,64347737,25111492,lyc秋千坠,记得初二时在考场拼命背书为接下来的考试，听到别人在放《清明雨上》，激动了一下，随后又很失落。当时那么喜欢的歌手别人也在听着，像一杯好酒被别人偷喝了一半，为了骗自己兑上水，却失了原来的味道。再者，总觉得，这样的歌只适合一个人静静听，在那么宽敞的地方放，总觉得被破坏了。,2015/7/5,35416,,1.4361E+12,FALSE,254
0,74557579,135598137,once-sky,我专科，大一。所有人都觉得我不应该只是一个专科生。周围人每天玩乐堕落，毫无目标。在自习室复习自考到闭馆，被人说成装逼。终其如此，不过是想看到不一样的明天。,2016/3/29,38075,,1.45926E+12,FALSE,159
1,59407182,141300419,瑪泽發克,我想好了  组乐队就叫香山大马猴,2016/4/13,23782,,1.46053E+12,FALSE,234
2,36480906,12788591,帐号已注销,最后悔的是大二上学期歌手大赛后有个乐队找我做主唱，当时自己装逼地说只唱民谣，我靠现在后悔的不行不行，大学里最后悔的一件事，没有疯狂起来。,2015/3/17,7601,,1.42658E+12,FALSE,10
3,120093086,137586509,GAEOO,你才20岁的人，思想为什么要想的的像30岁的人,2016/4/4,5631,,1.45971E+12,FALSE,46
4,37297478,5053361,猫饼,"我们像只野马一样在这城市里流淌
浪费了太阳也从不感到悲伤",2014/10/21,5353,,1.41389E+12,FALSE,2
0,331805053,226076030,Stars-CC,“祝愿所有看到这条评论的人 将来结婚都是因为爱情 而不是因为合适。”,2016/10/7,203759,,1.47584E+12,FALSE,1746
