,key,value
0,思念,31
1,极致,10
2,感觉我,1
3,句,36
4,晚安,54
5,一晚上,7
6,醒来,15
7,六七次,1
8,手机,59
9,信息,29
10,那种,57
11,可怕,17
12,朦朦胧胧,5
13,意识,10
14,梦,67
15,梦到,13
16,梦境,12
17,挣扎,14
18,立马,7
19,翻看,7
20,大概,52
21,深入,6
22,骨髓,6
23,竟,15
24,不愿,16
25,放过了吧,4
26,冷,19
27,喜欢,929
28,七年,7
29,以前,64
30,在一起,140
31,全书,2
32,直,4
33,穿,39
34,一身,20
35,基佬,1
36,紫,3
37,大哭,111
38,江厌,1
39,道,26
40,事,97
41,魏无羡笑道,1
42,进来,6
43,滚,6
44,说着,6
45,地上,9
46,滚江,1
47,厌离,1
48,问道,3
49,羡羡,1
50,几岁,1
51,魏无,1
52,羡道,1
53,三岁,2
54,蓝二,1
55,哥哥,41
56,醉酒,2
57,wifi,5
58,江澄,1
59,皱眉,10
60,魏无羡温宁,1
61,冷淡,8
62,魏无羡,5
63,笑眯眯,2
64,指,16
65,蓝忘机,5
66,盯着,9
67,一字,1
68,一顿,2
69,清晰,7
70,无比,7
71,地道,1
72,死,58
73,那么多,32
74,怕,104
75,晓星辰,1
76,留下,26
77,几缕,1
78,魂魄,3
79,残存,1
80,论灰飞烟灭,1
81,恐怕,2
82,温情,2
83,阿姐,1
84,蓝曦臣,1
85,这一生,12
86,杀父,1
87,杀兄杀妻,1
88,杀子杀师杀友,1
89,坏事,2
90,倒,19
91,吸,9
92,一口气,6
93,仿佛,17
94,肺部,1
95,刺穿,1
96,独独,5
97,想过,17
98,要害,2
99,心疼,26
100,瑶妹QAQ,1
101,忘记,52
102,拥抱,21
103,微笑,22
104,依旧,33
105,忘不了你,1
106,白天,15
107,原谅,17
108,所有人,34
109,晚上,39
110,不行,32
111,恋爱,43
112,样子,83
113,爱过,30
114,十年前,2
115,房间,19
116,门上,2
117,贴,4
118,潘玮柏,3
119,海报,6
120,跟着,16
121,学会,23
122,如今,30
123,Sunnee,1
124,再来,12
125,陪,113
126,听歌,32
127,忍不住,17
128,再见,40
129,很难,19
130,sunnee,2
131,气息,11
132,控制,10
133,很好,43
134,低沉,2
135,地方,78
136,诉说,6
137,故事,129
138,高潮,6
139,部分,17
140,宣泄,1
141,年少时,4
142,懵懂,6
143,版本,36
144,感觉到,9
145,少女,22
146,回忆,40
147,初恋,12
148,感觉,159
149,慢半,1
150,拍,17
151,一开始,13
152,动心,4
153,越陷越深,2
154,慢半拍,2
155,你走,6
156,爱着,22
157,慢热,2
158,辜负,23
159,每一次,5
160,全,49
161,情,17
162,投入,7
163,终究,21
164,离开,69
165,请,125
166,爱,440
167,毕竟,24
168,学得,1
169,慢,11
170,最好,64
171,薛之谦,21
172,说好,21
173,一辈子,47
174,先,50
175,敬老,1
176,薛生日快乐,1
177,什么叫,3
178,重蹈覆辙,4
179,数年,2
180,陌生,17
181,城市,42
182,街道,3
183,依然,35
184,一眼,29
185,就能,18
186,认出,1
187,背影,7
188,理由,22
189,追,39
190,不必,24
191,两位,5
192,纯粹,13
193,追求,21
194,音乐人,19
195,第一首,12
196,合作,48
197,作品,43
198,老,82
199,古董,8
200,天涯,5
201,自会,1
202,相逢,3
203,一向,2
204,半,8
205,发歌,9
206,准确,3
207,到达,2
208,32岁,4
209,许嵩,24
210,新,67
211,专辑,65
212,老夫,3
213,聊,18
214,少年,87
215,狂,4
216,主打,4
217,歌曲,78
218,率先,1
219,上线,30
220,为主题,1
221,收录,4
222,包含,10
223,职业,6
224,医生,11
225,厨师,3
226,程序员,2
227,歌手,82
228,摄影师,2
229,微博,39
230,透露,1
231,久,43
232,择偶,1
233,标准,4
234,老伴,5
235,需要,43
236,玄学,1
237,问题,26
238,密码,8
239,一首,106
240,铁们,2
241,瞎编,1
242,2009年,2
243,初一,2
244,自定义,1
245,2010年,2
246,初二,3
247,寻,13
248,雾,4
249,启事,2
250,2011年,1
251,初三,6
252,苏格拉,1
253,底,3
254,2012年,3
255,高一,10
256,梦游计,1
257,2014年,7
258,高三,29
259,茶,8
260,2016年,2
