"","content","评论时段"
"113","分手后第二年，我依然单身，她发来一条信息：你看过，抚摸过我身体的每一寸肌肤，确唯独看不到我穿婚纱的样子。那一个晚上我抱着手机，看着那条信息，整整抽了一包的烟，最后回复了一句：一定要过得比我好，只是不要再让我知道了。","2017-2019"
"114","我对你的感觉大概就是?就算我们很久不说话不聊天?或者哪天直接就没了任何联系?我还是会觉得你是我非常非常重要的人","2017-2019"
"115","人这辈子最怕突然听懂一些歌词","2017-2019"
"116","我的妈妈她有点世俗，有点贪小便宜，有点做作，甚至有时候有点虚假，但她却努力教我所有美好的品质，她想我成为好的人，一切的不堪她都一个人承受，只是因为我是她的女儿。","2017-2019"
"117","你传的照片，是我离家时的床铺你说好久了，屋子都没人住我总有办法打断你的叮嘱多数是不耐烦，少数是想哭我总说自己要减轻你的辛苦要自己去闯自己的路以为自己足够光彩夺目却被你一眼看穿艰辛苦楚传说上帝无法亲力亲为所有守护派仙女下凡，做人间的公主从此，一切美好，在柴米油盐中驻足","2017-2019"
"118","海味山珍比不过一荤一素油盐酱醋是她细密的叮嘱她用双手编织你远行的路然后笑着送别，站成一棵树她知道你受万人瞩目也知道你多辛苦好好睡吧，让她亲亲你渗出的泪珠别不开心，她喜欢你嘴角上扬的弧度","2017-2019"
"119","毛不易真是一个哲学家，《奇遇人生》里面说了好多经典语录：1.四十岁就是新的二十岁2.内向不是性格的缺陷只是性格的一种3.人的本质不是喜欢钱，而是钱予人的自由4.不想说的话我可以不说，但是我尽量保证说出的话都是真的5.快乐是赏赐，悲伤是考验，不快乐也不悲伤，是生活的常态???","2017-2019"
"120","我慢慢地、慢慢地了解到，所谓父女母子一场，只不过意味着，你和他的缘分就是今生今世不断地在目送他的背影渐行渐远。你站在小路的这一端，看着他逐渐消失在小路转弯的地方，而且，他用背影默默告诉你：不必追。——龙应台目送","2017-2019"
"156","希望你是回忆里那个永远不长胖的人～","2017-2019"
"158","Ilikeyou，butjustlikeyou[爱心]","2017-2019"
"176","喜欢说唱的女生应该都很正吧","2017-2019"
"177","如果可以我只要一杯清水一片面包一枝花如果再奢侈些我希望水是你倒的面包是你切的花是你送的","2017-2019"
"178","现代人太着急了看一眼照片听一段语音道两天晚安就喜欢上了不过讨厌得也很快喜欢了两三年最后因为一个眼神一句话不到一秒就决定放弃了多情又冷酷也挺好的速战速决总是好过暧昧不清就只怕杀伐决断的遇到了藕断丝连情意绵绵的遇上了见异思迁这世上赢的多半还是薄情人。","2017-2019"
"179","看到你们都爱听很是开心[爱心]","2017-2019"
"180","你让我如此着迷没有什么不可以?","2017-2019"
"186","昨天晚上朋友请去ktv，每人都叫了个妞，坐在我身边的那个长得挺漂亮的，中间她摸着我的手玩弄着，一起唱了几首歌，结束时她的脸贴着我的脸说了一句话：！挣点钱不容易，以后这种地方不要来了，看你手上的茧，省点钱给嫂子孩子吧。","2017-2019"
"188","单身是会上瘾的，一个人时间长了，久而久之就会变成习惯。会懒得恋爱，对爱情越来越挑剔，对朋友越来越重视，比以前更珍惜亲情，更爱父母，会越来越喜欢听歌，对所有的节日大多没什么期待，觉得日子过得无拘无束自由自在，给单身的自己转一个～","2017-2019"
"196","这首歌让你们成功恋爱了的有多少人？？","2017-2019"
"197","第一次听这首歌也正好遇见了同样爱篮球的你，我178你188，你第一次说喜欢我是用这首歌向我表白，哈哈哈哈哈哈哈，谢谢你爱我就像我爱你。对，我们都是男生。","2017-2019"
"198","叮当陪了大雄80年在大雄临死前他对叮说:“我走之后你就回到属于你的地方吧！”叮当同意了！大雄死后…叮当用时光机回到了80年前，对小时候的大雄说:“大雄你好，我叫叮当。”每次看到这个段子都好感动，----人生若只如初见朋友也好，爱人也罢，如果累了，我们就回到第一天见面的时候。","2017-2019"
"199","感觉马上会有女朋友的是你的错觉~[吐舌]","2017-2019"
"200","“放弃一个喜欢的人是什么感觉？”“我不删你好友，不拖你进黑名单，不取消关注，也不删你电话。我要做的就是，不愠不火，不冷不热，不悲不喜。我就是要你看着我的一切我所有的动态，都与你无关却又在你身边不吵不闹阴魂不散。”","2017-2019"
"211","岁月冗长，人们都说所爱隔山海，山海不可平，但海有舟可渡，山有径可行，只要你愿意，只要，你与我心意相通，山海，亦可平。","2017-2019"
"212","昨天终于鼓起勇气请自己一直暗恋的女生吃饭，吃到一半时，猛然发现钱包不见了，实在没办法，只好硬着头皮向她开口说话，我吞吞吐吐的说：“我…我…”这时她涨红着脸说：“我也喜欢你。。。”","2017-2019"
"213","这是等你的第五年了吧，期间不乏有人追过我，我也想尝试着放弃你，尝试着接受别人，但我每次尝试着从心里把你去除，但多次以后我发现，我竟要割掉心，才能与你了断，但我不想没心没肺的活着，我想爱我所爱，恨我所恨，所以我注定还要等你，所以你注定还是会不爱我！没关系，我习惯了，我等风也等你","2017-2019"
"214","我以前听说“所爱隔山海，山海不可平”的时候是嗤之以鼻的。我以为海有舟可渡，山有路可行.此爱翻山海，山海亦可平。也坚信“郎心自有一双脚，隔山隔海会归来”。后来我才知道，在跋山涉水时，在渡海越岭时，早就失散，再不复还。“所爱隔山海.山海不可平.山海亦可平.难平是人心。”","2017-2019"
"215","故事还长，你先别慌。我就在这里，等风也等你","2017-2019"
"221","小时候枕头上都是口水长大后枕头上都是泪水小时候微笑是一种心情长大后微笑是一种表情小时候哭着哭着就笑了长大后笑着笑着就哭了我们终于到了小时候最羡慕的年纪却没能成为小时候最想成为的人.","2017-2019"
"222","我于杀戮中盛放亦如黎明中的花朵","2017-2019"
"223","夜叉子的思念，你的怀念，我的回念[爱心]","2017-2019"
"224","求歌词只为了那一句“我爱你[爱心]”","2017-2019"
"225","爱过就是爱过，错过就是错过，爱情的故事最终还是选择大结局[心碎]","2017-2019"
"226","我花钱是一个大手大脚的人，平时一有钱就买衣服裤子鞋子，也会买一些演唱会和音乐节的门票，放假了就出去旅游，所以我平日里根本存不下钱，但是这次为了悄悄去和你告白，我存下钱买了去你那里的火车票，没有准备回来的火车票。老侯，你要在辽宁等我，我要用尽我的一切奔向你了。","2017-2019"
"227","周笔畅是内陆少见的实力唱将了。看见她的私信。直接红心就好。","2017-2019"
"228","听到那句“没有人该孤单啊，你有我啊呜”我一个大男人竟然想哭?！！！","2017-2019"
"229","想去二刷。我是一个学音乐的人。当我看到她们放了暑假家长都不理解为什么还要坚持的时候。这首歌一出来，瞬间泪崩。我也特别喜欢二次元。因为我喜欢啊。我喜欢我的琴。我喜欢唱歌。我喜欢古风。我不管别人理不理解。这是我喜欢并想去守护坚持的东西。我不会放弃。我喜欢民乐。这是我的坚守啊。","2017-2019"
"240","刚刚在车上打开网易云听着这首歌！然后我边上一女孩我同时打开听着这首歌！然后我们看到彼此的歌单，相视一笑！我竟然脸红了.........","2017-2019"
"241","”你听什么歌呢？““歌名太长太难说了”“那就说前几个字吧~”“我喜欢你。。。”","2017-2019"
"242","“你听什么歌呢？”“我喜欢你胜过削好的水果周末的零食延后的死线冰镇西瓜正中间的那一口肆无忌惮的赖床和……”“滚！”","2017-2019"
"243","歌名《我喜欢你胜过削好的水果周末的零食延后的死线冰镇西瓜正中间的那一口肆无忌惮的赖床和空调房里盖棉被的感觉但我就是不敢告诉你》不谢[大哭]","2017-2019"
"244","有没有人跟我一样盯着滚动的歌名直到看完?","2017-2019"
"245","作者一定是想简洁歌名的，想了很久，到头来却舍不得删掉一个字。","2017-2019"
"247","我喜欢一个妹子六年了吧，之前在她看来我们只是好朋友，她交过几任，约过几次，基本我都知道，我们躺一起她跟我说她的一切，我只能听着，但是我爱她，不管她为了其他男人作贱自己，我都爱她，今年她22，我23，她叫我等她到三十，我未婚她未嫁，就在一起，我想也没想就答应了，这就是我的名字来由","2017-2019"
"251","真幸运，长得好看的你也喜欢房东的猫听下去，会更可爱的你[亲亲][亲亲]","2017-2019"
"252","最开心的事是为赶热夏珠海场提前两小时赶过去飞奔过马路隐隐约约听到你们的彩排声一股莫名的力量带我们冲进去找到了入口前排坐下不想打扰傻傻的看着你们就像多年未见的老朋友","2017-2019"
"253","我靠你的梦为养料，在孤幻中踽踽独行孑然一身[爱心]","2017-2019"
"254","我也开始慢慢习惯，有苦自咽。","2017-2019"
"255","未来的你情人节快乐少做点对不起我的事。感激不尽?","2017-2019"
"256","如果我们不能结婚，你来当伴郎吧，因为我们也算是同走红地毯。后来我又想，如果我们不能结婚，你来砸我场、抢我走吧，我一定脱下高跟鞋，跟你私奔到天涯。后来仔细想想，算了，如果我们不能结婚，你别来了，我怕你什么都不做、却举杯祝我幸福。","2017-2019"
"257","看过最悲伤的评论：告诉你妈，我有房子了","2017-2019"
"258","今天她结婚，我请假，开了一天一夜的车到她家附近，车队来了，她穿婚纱的样子真好看，和我想象的不差，像公主一样。跟在车队后面一个多小时，都听到了外面敲锣打鼓的声音，手机收到一条信息，“别送了，我到了，对不起”。一刹那在车里哭的像个孩子。","2017-2019"
"259","喜欢一个不喜欢自己的人是能忍住不找他却没有办法在他找你的时候不回复我回你是秒回你回我是轮回最怕的是在我想要放弃的时候你对我笑我对你仍有爱意却对自己无能为力你是我的不知所措我是你的无关痛痒没资格吃的醋最酸先动心的人最惨余生好长你好难忘","2017-2019"
"260","不喜欢的女孩子不要对她好","2017-2019"
"261","爸妈认识第一年就结了婚有了我，很多人以为他们的闪婚不会幸福，不过我现在十八岁了依然恩恩爱爱羡煞旁人。前两个月我的录取通知被妈妈查到了，当时在外面玩，爸爸很兴奋的给我打电话。“崽崽快回来！！你通知书来了！！爸爸做了一大桌好吃的！等你开饭！！全是你妈爱吃的！”","2017-2019"
"262","我，性别男，爱好男，我没有干过什么伤天害理的事，我也希望能被这个社会善待","2017-2019"
"263","这世界有很多东西，我们可以理性的去看待，公平的去处理，只有在面对爱情的时候我们始终束手无策，你不知道什么时候你就喜欢上一个人，你不知何时她又悄悄的离开！情话微甜是青春，奔波忙碌是常态。青春有你陪伴，而今音乐是我的另一半。为听众做最好的音乐就是我现在的全部情话。加油，所有的歌手们!","2017-2019"
"264","我想我是抑郁了吧，怕的抑郁，我是女同，我已经不想接近人群，希望那些人可以幸福到永远，也希望那些有爱的人，终成眷属，祝福你们。","2017-2019"
"265","如果我喜欢你我会主动往你的方向走几步再走几步如果你看见我走过来了却没有迎接我的意思那我就会停下来了世界上有很多东西我们可以靠艰苦奋斗得来唯独对于爱情我不想太努力两个人势均力敌公平又平等的爱与被爱但愿在这个拼的你死我活的世界里我能有一份不用努力的刚刚好的爱情","2017-2019"
